study_hours,attendance,sleep_hours,internet_usage,assignments_completed,previous_score,exam_score
11,58,5,7,5,70,94.33
11,93,4,10,0,83,100.0
7,86,7,5,14,85,100.0
3,53,4,4,6,68,50.01
10,98,4,4,8,57,98.32
7,61,7,3,5,44,74.09
2,83,4,11,20,60,80.44
3,78,6,3,6,46,74.33
2,63,8,6,18,63,86.22
5,58,5,9,18,68,80.82
3,47,7,10,11,43,82.02
9,82,8,7,14,46,100.0
3,72,9,10,1,78,68.34
8,53,8,9,12,69,86.09
11,95,9,8,2,35,100.0
3,64,5,6,6,66,63.77
3,51,9,1,5,59,61.01
9,58,8,3,10,66,99.53
3,92,7,7,10,38,76.02
2,82,5,7,5,95,84.63
3,47,7,5,2,42,59.25
8,84,8,1,20,63,100.0
6,81,6,7,20,68,100.0
6,66,7,3,16,74,100.0
10,58,7,5,1,60,85.56
1,92,5,4,10,39,46.24
11,89,7,9,14,42,100.0
6,42,6,8,2,51,64.6
9,48,7,7,12,38,80.31
1,89,7,1,20,44,98.25
1,55,7,3,4,88,60.45
7,61,6,9,19,85,100.0
7,75,6,11,12,79,80.77
4,44,4,4,15,53,93.38
8,42,9,4,16,66,98.76
7,100,9,7,4,81,96.21
2,73,5,7,19,93,92.08
8,63,6,2,4,63,97.65
7,55,6,11,13,85,78.71
1,51,4,3,2,59,51.33
5,45,6,4,5,93,87.95
5,95,5,10,19,89,100.0
2,47,4,8,0,66,45.14
1,82,6,5,3,49,47.87
6,63,6,11,6,42,61.68
7,45,4,1,9,89,91.94
10,63,6,7,4,62,95.93
5,43,9,6,2,50,77.61
5,44,9,6,8,87,72.27
7,74,8,6,16,61,100.0
5,93,9,4,2,67,100.0
4,41,7,6,7,65,74.33
7,50,7,11,15,83,83.14
4,68,5,9,0,83,60.92
3,40,4,2,18,55,72.54
11,61,7,6,12,83,100.0
10,58,9,9,6,64,97.26
7,65,9,11,13,66,100.0
7,83,5,6,16,95,100.0
3,50,5,8,1,40,47.71
5,55,4,5,7,93,81.97
7,44,7,1,4,56,84.61
6,93,6,6,4,55,70.31
11,95,9,5,13,94,100.0
8,47,5,1,14,81,84.0
7,86,4,4,14,50,86.28
4,97,9,9,0,40,51.77
4,76,7,1,12,53,100.0
8,55,5,9,5,49,78.41
9,75,5,11,3,54,77.28
7,95,4,4,16,71,100.0
6,83,8,6,3,56,78.89
10,40,9,9,10,94,100.0
10,69,5,3,0,49,94.09
8,59,7,3,18,62,100.0
7,74,7,10,8,92,100.0
5,45,8,11,10,56,71.3
2,60,5,6,8,47,54.0
8,76,4,1,6,89,100.0
2,48,5,10,8,57,66.93
11,45,5,2,4,93,100.0
9,55,7,1,6,76,87.68
7,76,8,4,17,88,100.0
9,56,6,3,12,87,94.07
2,97,4,3,14,61,84.32
9,75,5,9,0,36,72.95
2,62,9,4,5,50,62.72
5,54,7,8,13,89,96.69
1,80,7,10,1,60,60.32
11,40,7,2,7,45,93.35
1,58,9,9,20,59,97.97
8,88,6,5,4,87,100.0
5,47,4,10,13,65,74.8
11,67,6,8,12,38,100.0
10,52,9,8,10,54,100.0
1,99,4,4,9,94,81.6
11,59,4,9,11,36,78.96
11,48,7,4,18,35,95.45
8,58,5,8,8,59,81.27
11,89,5,3,7,60,100.0
2,85,5,9,3,86,80.59
2,46,5,4,8,62,55.2
10,67,9,3,10,48,100.0
10,50,6,10,9,85,100.0
11,53,6,11,18,46,100.0
3,53,4,4,20,74,69.64
6,75,5,8,11,84,89.22
11,65,7,3,20,42,100.0
4,81,4,4,4,38,58.05
2,60,9,8,3,37,58.1
7,58,7,11,12,56,77.52
4,99,4,4,7,40,73.43
8,92,6,11,16,87,100.0
8,98,7,4,19,37,100.0
11,100,8,5,6,59,100.0
1,70,5,5,10,48,57.08
3,90,9,8,17,74,79.75
4,53,6,11,19,59,70.5
2,61,6,5,9,62,77.16
5,58,9,11,3,58,52.06
5,58,5,10,11,77,86.72
9,65,5,4,10,50,100.0
4,45,5,11,20,71,79.72
6,74,8,1,17,61,100.0
1,73,9,8,17,49,75.92
3,71,8,9,5,55,91.89
7,73,6,9,15,50,98.1
10,87,4,6,0,80,100.0
1,68,9,8,17,49,72.82
8,56,4,4,2,92,89.08
11,49,7,3,6,94,100.0
11,81,8,3,4,59,100.0
5,97,8,4,0,93,83.41
3,51,4,11,14,76,78.07
7,64,8,3,2,78,95.6
5,47,8,7,4,87,88.37
10,51,6,7,9,65,92.97
1,46,6,10,9,81,48.98
1,56,4,7,16,38,57.73
1,96,8,9,5,75,74.09
9,44,7,7,15,39,87.01
6,83,9,1,1,94,100.0
8,57,8,11,18,81,100.0
11,65,4,8,7,48,100.0
7,41,8,10,13,72,80.34
5,88,4,8,3,91,90.87
11,84,5,3,4,85,100.0
6,53,7,5,9,85,100.0
11,58,5,10,10,39,87.02
10,85,6,7,20,81,100.0
2,52,9,2,10,83,100.0
6,55,9,5,18,52,91.43
7,53,5,3,10,41,79.24
9,68,4,9,9,91,100.0
5,61,5,2,15,63,100.0
3,94,8,11,14,67,86.23
4,59,4,8,6,54,66.75
5,92,4,2,1,59,76.12
10,78,5,1,19,72,100.0
5,85,4,8,7,38,72.25
3,83,4,5,14,91,100.0
9,97,8,6,1,50,84.72
8,42,7,1,8,38,59.93
1,45,6,10,8,82,83.43
7,76,7,3,17,57,100.0
2,78,9,8,7,49,45.84
3,51,8,11,15,85,100.0
9,57,9,5,4,54,100.0
3,82,5,4,9,66,78.42
10,61,6,3,19,79,100.0
2,58,5,7,15,36,61.18
8,40,4,7,4,86,80.44
9,41,9,7,9,78,100.0
10,41,8,3,11,65,100.0
1,76,9,7,17,53,69.07
8,45,7,1,11,58,97.61
1,50,6,7,7,94,73.07
8,84,7,1,0,93,100.0
1,55,8,5,16,45,72.47
6,70,5,3,13,41,93.53
8,80,7,8,1,55,78.68
5,80,9,10,2,58,87.65
9,89,7,2,15,71,100.0
10,72,8,3,10,59,98.58
9,64,7,9,20,58,100.0
3,94,6,1,17,52,98.87
3,40,7,5,11,88,84.87
7,97,4,10,16,59,100.0
1,63,7,4,15,63,84.87
7,55,6,10,20,42,100.0
6,74,4,6,13,92,100.0
4,71,7,6,4,88,95.4
4,98,5,9,6,94,100.0
6,46,9,8,11,61,76.35
10,61,8,11,5,48,100.0
6,78,9,1,17,93,100.0
8,84,7,10,5,70,96.1
10,62,5,11,18,41,78.87
6,56,7,9,1,87,79.73
6,79,9,5,20,43,100.0
6,83,6,11,8,94,92.93
10,77,9,9,19,55,100.0
7,86,8,11,9,93,99.99
4,63,9,10,12,37,72.46
8,82,8,7,19,75,100.0
4,59,7,2,5,36,71.75
9,56,9,1,3,56,100.0
3,48,5,11,2,64,57.48
5,49,6,4,4,43,61.04
11,53,7,11,5,69,99.07
11,41,9,8,3,48,91.84
2,97,7,10,1,56,59.77
11,81,5,9,16,37,100.0
11,90,7,8,15,48,100.0
10,53,8,10,12,77,100.0
7,51,6,8,7,70,71.33
11,70,5,3,10,95,100.0
5,43,5,11,1,40,42.17
10,82,6,7,12,67,100.0
4,100,7,4,6,72,89.56
8,60,7,6,1,50,85.57
6,42,7,9,14,43,73.42
6,55,8,2,9,47,83.81
9,49,9,3,10,90,100.0
